plot,rep,trt,date,total,wilt,yellow,dry,disease_percentage
1,3,DIP,3/29/24,4,0,0,0,0
2,5,DIP,3/29/24,4,0,0,0,0
3,3,DRE,3/29/24,5,0,0,0,0
4,1,DIP,3/29/24,4,0,0,0,0
5,4,DRE,3/29/24,4,0,0,0,0
6,2,DRE,3/29/24,5,0,0,0,0
7,1,DRE,3/29/24,4,0,0,0,0
8,4,DIP,3/29/24,4,0,0,0,0
9,5,DRE,3/29/24,4,4,0,0,0
10,2,DIP,3/29/24,5,0,0,0,0
1,3,DIP,4/1/24,4,1,0,0,0
2,5,DIP,4/1/24,5,1,2,0,40
3,3,DRE,4/1/24,7,0,0,0,0
4,1,DIP,4/1/24,5,1,1,0,20
5,4,DRE,4/1/24,6,0,0,0,0
6,2,DRE,4/1/24,5,0,1,0,20
7,1,DRE,4/1/24,6,0,0,0,0
8,4,DIP,4/1/24,4,0,1,0,25
9,5,DRE,4/1/24,5,0,0,0,0
10,2,DIP,4/1/24,5,3,1,0,20
1,3,DIP,4/4/24,5,0,1,2,60
2,5,DIP,4/4/24,5,0,1,3,80
3,3,DRE,4/4/24,7,3,0,0,0
4,1,DIP,4/4/24,5,0,2,2,80
5,4,DRE,4/4/24,6,2,1,1,33
6,2,DRE,4/4/24,6,1,3,1,67
7,1,DRE,4/4/24,6,1,0,0,0
8,4,DIP,4/4/24,6,0,2,2,67
9,5,DRE,4/4/24,7,1,0,0,0
10,2,DIP,4/4/24,6,0,3,2,83
1,3,DIP,4/9/24,5,1,1,2,60
2,5,DIP,4/9/24,5,0,1,3,80
3,3,DRE,4/9/24,9,0,4,3,78
4,1,DIP,4/9/24,7,0,1,4,71
5,4,DRE,4/9/24,8,2,2,4,75
6,2,DRE,4/9/24,7,0,1,4,71
7,1,DRE,4/9/24,6,0,5,0,83
8,4,DIP,4/9/24,5,1,1,3,80
9,5,DRE,4/9/24,8,0,3,4,88
10,2,DIP,4/9/24,6,0,1,5,100
1,3,DIP,4/12/24,4,1,2,1,75
2,5,DIP,4/12/24,6,0,1,3,67
3,3,DRE,4/12/24,10,1,4,4,80
4,1,DIP,4/12/24,7,1,1,3,57
5,4,DRE,4/12/24,8,2,1,5,75
6,2,DRE,4/12/24,6,2,1,3,67
7,1,DRE,4/12/24,7,1,3,2,71
8,4,DIP,4/12/24,7,3,1,3,57
9,5,DRE,4/12/24,10,2,3,5,80
10,2,DIP,4/12/24,8,2,1,5,75
1,3,DIP,4/15/24,5,1,0,1,20
2,5,DIP,4/15/24,7,0,2,3,71
3,3,DRE,4/15/24,10,2,1,6,70
4,1,DIP,4/15/24,5,0,1,1,40
5,4,DRE,4/15/24,7,2,1,3,57
6,2,DRE,4/15/24,5,1,1,1,40
7,1,DRE,4/15/24,6,1,2,2,67
8,4,DIP,4/15/24,7,2,2,3,71
9,5,DRE,4/15/24,7,2,1,4,71
10,2,DIP,4/15/24,8,0,1,5,75